wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster
MFL,2024-08-15 19:42,2024-08-15 20:45,2024-08-15 19:42,202408152045,FA,C,Y,129,NEW,FLC011,3161.671630859375,2024-08-15 19:42,00000,N,ER,OO,False,,,,,,,202408151942-KMFL-WGUS82-FLSMFL,CWC
MFL,2024-08-15 19:55,2024-08-15 21:00,2024-08-15 19:55,202408152100,FA,C,Y,130,NEW,FLC086,5094.58447265625,2024-08-15 19:55,00000,N,ER,OO,False,,,,,,,202408151955-KMFL-WGUS82-FLSMFL,CWC
MFL,2024-09-07 13:00,2024-09-07 22:00,2024-09-07 06:42,202409072200,HT,C,Y,44,NEW,FLZ069,787.5226440429688,2024-09-07 06:42,,,,,False,,,,,,,202409070642-KMFL-WWUS72-NPWMFL,RAG
MFL,2024-09-07 13:00,2024-09-07 22:00,2024-09-07 06:42,202409072200,HT,C,Y,44,NEW,FLZ070,4463.77685546875,2024-09-07 06:42,,,,,False,,,,,,,202409070642-KMFL-WWUS72-NPWMFL,RAG
MFL,2024-08-22 17:51,2024-08-22 18:45,2024-08-22 17:51,202408221845,FA,C,Y,147,NEW,FLC086,5094.58447265625,2024-08-22 17:51,00000,N,ER,OO,False,,,,,,,202408221751-KMFL-WGUS82-FLSMFL,GR
MFL,2024-08-15 14:00,2024-08-15 20:01,2024-08-14 21:58,202408152200,HT,C,Y,35,CAN,FLZ069,787.5226440429688,2024-08-15 20:01,,,,,False,,,,,,,202408142158-KMFL-WWUS72-NPWMFL,NC
MFL,2024-08-15 14:00,2024-08-15 20:01,2024-08-14 21:58,202408152200,HT,C,Y,35,CAN,FLZ072,880.1738891601562,2024-08-15 20:01,,,,,False,,,,,,,202408142158-KMFL-WWUS72-NPWMFL,NC
MFL,2024-08-15 14:00,2024-08-15 20:01,2024-08-14 21:58,202408152200,HT,C,Y,35,CAN,FLZ074,1030.5223388671875,2024-08-15 20:01,,,,,False,,,,,,,202408142158-KMFL-WWUS72-NPWMFL,NC
MFL,2024-08-15 14:00,2024-08-15 20:01,2024-08-14 21:58,202408152200,HT,C,Y,35,CAN,FLZ075,2018.58935546875,2024-08-15 20:01,,,,,False,,,,,,,202408142158-KMFL-WWUS72-NPWMFL,NC
MFL,2024-08-15 14:00,2024-08-15 20:01,2024-08-14 21:58,202408152200,HT,C,Y,35,CAN,FLZ168,297.02288818359375,2024-08-15 20:01,,,,,False,,,,,,,202408142158-KMFL-WWUS72-NPWMFL,NC
MFL,2024-08-15 14:00,2024-08-15 20:01,2024-08-14 21:58,202408152200,HT,C,Y,35,CAN,FLZ172,195.8022003173828,2024-08-15 20:01,,,,,False,,,,,,,202408142158-KMFL-WWUS72-NPWMFL,NC
MFL,2024-08-15 20:08,2024-08-15 21:15,2024-08-15 20:08,202408152115,FA,C,Y,131,NEW,FLC086,5094.58447265625,2024-08-15 20:08,00000,N,ER,OO,False,,,,,,,202408152008-KMFL-WGUS82-FLSMFL,CWC
MFL,2024-08-15 21:18,2024-08-15 22:01,2024-08-15 21:18,202408152245,FF,C,W,18,CAN,FLC086,5094.58447265625,2024-08-15 22:01,00000,0,ER,OO,False,,,,,,,202408152118-KMFL-WGUS52-FFWMFL,CWC
TBW,2024-10-09 15:33,2024-10-09 16:00,2024-10-09 15:33,202410091600,TO,C,W,47,CON,FLC015,1818.09619140625,2024-10-09 15:47,,,,,False,,,,,,,202410091533-KTBW-WFUS52-TORTBW,TBW
JAX,2024-09-05 06:36,2024-09-05 08:33,2024-09-05 06:36,202409050945,FA,C,Y,287,CAN,FLC109,1702.60009765625,2024-09-05 08:33,00000,N,ER,OO,False,,,,,,,202409050636-KJAX-WGUS82-FLSJAX,DUBOIS
MLB,2024-08-16 06:19,2024-08-20 08:00,2024-08-16 06:19,202408180800,RP,C,S,22,EXT,FLZ164,359.5745544433594,2024-08-19 06:33,,,,,False,,,,,,,202408160619-KMLB-WHUS42-CFWMLB,Schaper
MLB,2024-08-16 06:19,2024-08-20 08:00,2024-08-16 06:19,202408180800,RP,C,S,22,EXT,FLZ347,226.41384887695312,2024-08-19 06:33,,,,,False,,,,,,,202408160619-KMLB-WHUS42-CFWMLB,Schaper
MLB,2024-08-16 06:19,2024-08-20 08:00,2024-08-16 06:19,202408180800,RP,C,S,22,EXT,FLZ447,446.071044921875,2024-08-19 06:33,,,,,False,,,,,,,202408160619-KMLB-WHUS42-CFWMLB,Schaper
MLB,2024-08-16 06:19,2024-08-20 08:00,2024-08-16 06:19,202408180800,RP,C,S,22,EXT,FLZ647,453.6716003417969,2024-08-19 06:33,,,,,False,,,,,,,202408160619-KMLB-WHUS42-CFWMLB,Schaper
MLB,2024-08-16 06:19,2024-08-20 08:00,2024-08-16 06:19,202408180800,RP,C,S,22,EXT,FLZ141,654.7750854492188,2024-08-19 06:33,,,,,False,,,,,,,202408160619-KMLB-WHUS42-CFWMLB,Schaper
TAE,2024-08-16 08:00,2024-08-18 08:00,2024-08-16 06:44,202408170800,RP,C,S,67,EXP,FLZ115,911.9964599609375,2024-08-18 07:35,,,,,False,,,,,,,202408160644-KTAE-WHUS42-CFWTAE,
MLB,2024-09-10 20:48,2024-09-10 21:08,2024-09-10 20:48,202409102115,SV,C,W,83,CAN,FLC095,2604.07568359375,2024-09-10 21:08,,,,,False,,,,,,,202409102048-KMLB-WUUS52-SVRMLB,Haley
MLB,2024-09-08 22:18,2024-09-08 23:45,2024-09-08 22:18,202409082345,FA,C,Y,99,NEW,FLC009,2741.7197265625,2024-09-08 22:18,00000,N,ER,OO,False,,,,,,,202409082218-KMLB-WGUS82-FLSMLB,JS
MLB,2024-09-10 20:48,2024-09-10 21:15,2024-09-10 20:48,202409102115,SV,C,W,83,EXP,FLC097,3908.311279296875,2024-09-10 21:13,,,,,False,,,,,,,202409102048-KMLB-WUUS52-SVRMLB,Haley
TBW,2024-08-30 18:00,2024-09-01 00:00,2024-08-30 13:14,202408311800,FL,C,W,27,EXT,FLC027,1659.1502685546875,2024-08-31 14:37,ARHF1,1,ER,NO,False,,,,,,,202408301314-KTBW-WGUS42-FLWTBW,TBW
MFL,2024-08-30 07:50,2024-09-01 00:00,2024-08-30 07:50,202408310000,RP,C,S,35,EXP,FLZ173,557.966064453125,2024-08-31 23:40,,,,,False,,,,,,,202408300750-KMFL-WHUS42-CFWMFL,
TBW,2024-10-09 15:33,2024-10-09 16:00,2024-10-09 15:33,202410091600,TO,C,W,47,CON,FLC071,2115.832275390625,2024-10-09 15:47,,,,,False,,,,,,,202410091533-KTBW-WFUS52-TORTBW,TBW
MLB,2024-09-05 09:04,2024-09-07 08:00,2024-09-05 09:04,202409060800,RP,C,S,24,EXT,FLZ141,654.7750854492188,2024-09-06 06:04,,,,,False,,,,,,,202409050904-KMLB-WHUS42-CFWMLB,
MLB,2024-09-05 09:04,2024-09-07 08:00,2024-09-05 09:04,202409060800,RP,C,S,24,EXT,FLZ154,423.17010498046875,2024-09-06 06:04,,,,,False,,,,,,,202409050904-KMLB-WHUS42-CFWMLB,
